Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;326.754
250 Diabetes mellitus;Ambos sexos;Andalucía;60.465
250 Diabetes mellitus;Ambos sexos;Almería;3.308
250 Diabetes mellitus;Ambos sexos;Cádiz;11.102
250 Diabetes mellitus;Ambos sexos;Córdoba;4.600
250 Diabetes mellitus;Ambos sexos;Granada;7.843
250 Diabetes mellitus;Ambos sexos;Huelva;3.011
250 Diabetes mellitus;Ambos sexos;Jaén;3.350
250 Diabetes mellitus;Ambos sexos;Málaga;13.537
250 Diabetes mellitus;Ambos sexos;Sevilla;13.713
250 Diabetes mellitus;Ambos sexos;Aragón;11.396
250 Diabetes mellitus;Ambos sexos;Huesca;1.753
250 Diabetes mellitus;Ambos sexos;Teruel;632
250 Diabetes mellitus;Ambos sexos;Zaragoza;9.010
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);11.730
250 Diabetes mellitus;Ambos sexos;Balears (Illes);8.329
250 Diabetes mellitus;Ambos sexos;Canarias;21.139
250 Diabetes mellitus;Ambos sexos;Palmas (Las);10.163
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;10.975
250 Diabetes mellitus;Ambos sexos;Cantabria;4.004
250 Diabetes mellitus;Ambos sexos;Castilla y León;21.947
250 Diabetes mellitus;Ambos sexos;Avila;1.131
250 Diabetes mellitus;Ambos sexos;Burgos;4.287
250 Diabetes mellitus;Ambos sexos;León;3.905
250 Diabetes mellitus;Ambos sexos;Palencia;1.021
250 Diabetes mellitus;Ambos sexos;Salamanca;4.404
250 Diabetes mellitus;Ambos sexos;Segovia;705
250 Diabetes mellitus;Ambos sexos;Soria;787
250 Diabetes mellitus;Ambos sexos;Valladolid;4.267
250 Diabetes mellitus;Ambos sexos;Zamora;1.440
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;9.785
250 Diabetes mellitus;Ambos sexos;Albacete;1.373
250 Diabetes mellitus;Ambos sexos;Ciudad Real;3.648
250 Diabetes mellitus;Ambos sexos;Cuenca;1.171
250 Diabetes mellitus;Ambos sexos;Guadalajara;907
250 Diabetes mellitus;Ambos sexos;Toledo;2.685
250 Diabetes mellitus;Ambos sexos;Cataluña;52.180
250 Diabetes mellitus;Ambos sexos;Barcelona;40.981
250 Diabetes mellitus;Ambos sexos;Girona;3.387
250 Diabetes mellitus;Ambos sexos;Lleida;3.699
250 Diabetes mellitus;Ambos sexos;Tarragona;4.113
250 Diabetes mellitus;Ambos sexos;Comunidad Valenciana;29.182
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;10.213
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;3.477
250 Diabetes mellitus;Ambos sexos;Valencia/València;15.491
250 Diabetes mellitus;Ambos sexos;Extremadura;7.185
250 Diabetes mellitus;Ambos sexos;Badajoz;5.212
250 Diabetes mellitus;Ambos sexos;Cáceres;1.973
250 Diabetes mellitus;Ambos sexos;Galicia;20.590
250 Diabetes mellitus;Ambos sexos;Coruña (A);8.064
250 Diabetes mellitus;Ambos sexos;Lugo;3.780
250 Diabetes mellitus;Ambos sexos;Ourense;2.467
250 Diabetes mellitus;Ambos sexos;Pontevedra;6.279
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);30.107
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);12.675
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.311
250 Diabetes mellitus;Ambos sexos;País Vasco;14.825
250 Diabetes mellitus;Ambos sexos;Alava;2.380
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;6.029
250 Diabetes mellitus;Ambos sexos;Vizcaya;6.416
250 Diabetes mellitus;Ambos sexos;Rioja (La);3.402
250 Diabetes mellitus;Ambos sexos;Ceuta;1.302
250 Diabetes mellitus;Ambos sexos;Melilla;1.200
250 Diabetes mellitus;Varones;Total;175.468
250 Diabetes mellitus;Varones;Andalucía;32.590
250 Diabetes mellitus;Varones;Almería;1.622
250 Diabetes mellitus;Varones;Cádiz;5.388
250 Diabetes mellitus;Varones;Córdoba;2.537
250 Diabetes mellitus;Varones;Granada;4.095
250 Diabetes mellitus;Varones;Huelva;1.571
250 Diabetes mellitus;Varones;Jaén;2.076
250 Diabetes mellitus;Varones;Málaga;8.182
250 Diabetes mellitus;Varones;Sevilla;7.119
250 Diabetes mellitus;Varones;Aragón;6.361
250 Diabetes mellitus;Varones;Huesca;943
250 Diabetes mellitus;Varones;Teruel;436
250 Diabetes mellitus;Varones;Zaragoza;4.982
250 Diabetes mellitus;Varones;Asturias (Principado de);6.121
250 Diabetes mellitus;Varones;Balears (Illes);4.757
250 Diabetes mellitus;Varones;Canarias;11.171
250 Diabetes mellitus;Varones;Palmas (Las);5.479
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;5.692
250 Diabetes mellitus;Varones;Cantabria;1.817
250 Diabetes mellitus;Varones;Castilla y León;10.323
250 Diabetes mellitus;Varones;Avila;642
250 Diabetes mellitus;Varones;Burgos;1.819
250 Diabetes mellitus;Varones;León;1.613
250 Diabetes mellitus;Varones;Palencia;561
250 Diabetes mellitus;Varones;Salamanca;2.245
250 Diabetes mellitus;Varones;Segovia;348
250 Diabetes mellitus;Varones;Soria;376
250 Diabetes mellitus;Varones;Valladolid;1.919
250 Diabetes mellitus;Varones;Zamora;800
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.697
250 Diabetes mellitus;Varones;Albacete;904
250 Diabetes mellitus;Varones;Ciudad Real;2.059
