Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;349.713
250 Diabetes mellitus;Ambos sexos;Andalucía;62.871
250 Diabetes mellitus;Ambos sexos;Almería;3.314
250 Diabetes mellitus;Ambos sexos;Cádiz;11.323
250 Diabetes mellitus;Ambos sexos;Córdoba;4.483
250 Diabetes mellitus;Ambos sexos;Granada;9.019
250 Diabetes mellitus;Ambos sexos;Huelva;4.406
250 Diabetes mellitus;Ambos sexos;Jaén;4.057
250 Diabetes mellitus;Ambos sexos;Málaga;12.389
250 Diabetes mellitus;Ambos sexos;Sevilla;13.880
250 Diabetes mellitus;Ambos sexos;Aragón;11.989
250 Diabetes mellitus;Ambos sexos;Huesca;1.841
250 Diabetes mellitus;Ambos sexos;Teruel;526
250 Diabetes mellitus;Ambos sexos;Zaragoza;9.622
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);11.334
250 Diabetes mellitus;Ambos sexos;Balears (Illes);10.493
250 Diabetes mellitus;Ambos sexos;Canarias;23.813
250 Diabetes mellitus;Ambos sexos;Palmas (Las);11.151
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;12.662
250 Diabetes mellitus;Ambos sexos;Cantabria;4.237
250 Diabetes mellitus;Ambos sexos;Castilla y León;22.993
250 Diabetes mellitus;Ambos sexos;Avila;1.355
250 Diabetes mellitus;Ambos sexos;Burgos;3.719
250 Diabetes mellitus;Ambos sexos;León;3.876
250 Diabetes mellitus;Ambos sexos;Palencia;976
250 Diabetes mellitus;Ambos sexos;Salamanca;4.049
250 Diabetes mellitus;Ambos sexos;Segovia;963
250 Diabetes mellitus;Ambos sexos;Soria;1.026
250 Diabetes mellitus;Ambos sexos;Valladolid;4.858
250 Diabetes mellitus;Ambos sexos;Zamora;2.172
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;9.846
250 Diabetes mellitus;Ambos sexos;Albacete;1.244
250 Diabetes mellitus;Ambos sexos;Ciudad Real;2.885
250 Diabetes mellitus;Ambos sexos;Cuenca;2.082
250 Diabetes mellitus;Ambos sexos;Guadalajara;561
250 Diabetes mellitus;Ambos sexos;Toledo;3.074
250 Diabetes mellitus;Ambos sexos;Cataluña;61.657
250 Diabetes mellitus;Ambos sexos;Barcelona;49.937
250 Diabetes mellitus;Ambos sexos;Girona;4.179
250 Diabetes mellitus;Ambos sexos;Lleida;4.102
250 Diabetes mellitus;Ambos sexos;Tarragona;3.439
250 Diabetes mellitus;Ambos sexos;Comunidad Valenciana;29.914
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;10.368
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;3.319
250 Diabetes mellitus;Ambos sexos;Valencia/València;16.227
250 Diabetes mellitus;Ambos sexos;Extremadura;7.246
250 Diabetes mellitus;Ambos sexos;Badajoz;5.064
250 Diabetes mellitus;Ambos sexos;Cáceres;2.181
250 Diabetes mellitus;Ambos sexos;Galicia;21.949
250 Diabetes mellitus;Ambos sexos;Coruña (A);8.610
250 Diabetes mellitus;Ambos sexos;Lugo;3.441
250 Diabetes mellitus;Ambos sexos;Ourense;2.499
250 Diabetes mellitus;Ambos sexos;Pontevedra;7.398
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);36.301
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);10.449
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.287
250 Diabetes mellitus;Ambos sexos;País Vasco;14.045
250 Diabetes mellitus;Ambos sexos;Alava;2.109
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;5.940
250 Diabetes mellitus;Ambos sexos;Vizcaya;5.996
250 Diabetes mellitus;Ambos sexos;Rioja (La);3.026
250 Diabetes mellitus;Ambos sexos;Ceuta;876
250 Diabetes mellitus;Ambos sexos;Melilla;1.389
250 Diabetes mellitus;Varones;Total;186.222
250 Diabetes mellitus;Varones;Andalucía;33.788
250 Diabetes mellitus;Varones;Almería;2.116
250 Diabetes mellitus;Varones;Cádiz;5.858
250 Diabetes mellitus;Varones;Córdoba;2.166
250 Diabetes mellitus;Varones;Granada;4.604
250 Diabetes mellitus;Varones;Huelva;2.248
250 Diabetes mellitus;Varones;Jaén;2.199
250 Diabetes mellitus;Varones;Málaga;7.141
250 Diabetes mellitus;Varones;Sevilla;7.457
250 Diabetes mellitus;Varones;Aragón;6.702
250 Diabetes mellitus;Varones;Huesca;1.057
250 Diabetes mellitus;Varones;Teruel;375
250 Diabetes mellitus;Varones;Zaragoza;5.270
250 Diabetes mellitus;Varones;Asturias (Principado de);5.890
250 Diabetes mellitus;Varones;Balears (Illes);5.900
250 Diabetes mellitus;Varones;Canarias;12.615
250 Diabetes mellitus;Varones;Palmas (Las);5.649
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;6.966
250 Diabetes mellitus;Varones;Cantabria;2.243
250 Diabetes mellitus;Varones;Castilla y León;11.409
250 Diabetes mellitus;Varones;Avila;811
250 Diabetes mellitus;Varones;Burgos;1.943
250 Diabetes mellitus;Varones;León;1.473
250 Diabetes mellitus;Varones;Palencia;263
250 Diabetes mellitus;Varones;Salamanca;1.984
250 Diabetes mellitus;Varones;Segovia;506
