Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;308.621
250 Diabetes mellitus;Ambos sexos;Andalucía;54.526
250 Diabetes mellitus;Ambos sexos;Almería;4.942
250 Diabetes mellitus;Ambos sexos;Cádiz;10.566
250 Diabetes mellitus;Ambos sexos;Córdoba;5.398
250 Diabetes mellitus;Ambos sexos;Granada;7.071
250 Diabetes mellitus;Ambos sexos;Huelva;3.145
250 Diabetes mellitus;Ambos sexos;Jaén;3.284
250 Diabetes mellitus;Ambos sexos;Málaga;9.884
250 Diabetes mellitus;Ambos sexos;Sevilla;10.236
250 Diabetes mellitus;Ambos sexos;Aragón;9.787
250 Diabetes mellitus;Ambos sexos;Huesca;1.997
250 Diabetes mellitus;Ambos sexos;Teruel;691
250 Diabetes mellitus;Ambos sexos;Zaragoza;7.098
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);11.507
250 Diabetes mellitus;Ambos sexos;Balears (Illes);6.308
250 Diabetes mellitus;Ambos sexos;Canarias;19.597
250 Diabetes mellitus;Ambos sexos;Palmas (Las);9.703
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;9.894
250 Diabetes mellitus;Ambos sexos;Cantabria;5.006
250 Diabetes mellitus;Ambos sexos;Castilla y León;19.583
250 Diabetes mellitus;Ambos sexos;Avila;915
250 Diabetes mellitus;Ambos sexos;Burgos;2.978
250 Diabetes mellitus;Ambos sexos;León;3.745
250 Diabetes mellitus;Ambos sexos;Palencia;983
250 Diabetes mellitus;Ambos sexos;Salamanca;3.517
250 Diabetes mellitus;Ambos sexos;Segovia;604
250 Diabetes mellitus;Ambos sexos;Soria;476
250 Diabetes mellitus;Ambos sexos;Valladolid;4.391
250 Diabetes mellitus;Ambos sexos;Zamora;1.974
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;10.720
250 Diabetes mellitus;Ambos sexos;Albacete;2.197
