Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;286.127
250 Diabetes mellitus;Ambos sexos;Andalucía;43.514
250 Diabetes mellitus;Ambos sexos;Almería;3.083
250 Diabetes mellitus;Ambos sexos;Cádiz;7.215
250 Diabetes mellitus;Ambos sexos;Córdoba;2.573
250 Diabetes mellitus;Ambos sexos;Granada;7.578
250 Diabetes mellitus;Ambos sexos;Huelva;3.275
250 Diabetes mellitus;Ambos sexos;Jaén;2.698
250 Diabetes mellitus;Ambos sexos;Málaga;8.528
250 Diabetes mellitus;Ambos sexos;Sevilla;8.564
250 Diabetes mellitus;Ambos sexos;Aragón;9.558
250 Diabetes mellitus;Ambos sexos;Huesca;1.567
250 Diabetes mellitus;Ambos sexos;Teruel;834
250 Diabetes mellitus;Ambos sexos;Zaragoza;7.157
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);8.733
250 Diabetes mellitus;Ambos sexos;Balears (Illes);8.193
250 Diabetes mellitus;Ambos sexos;Canarias;17.529
250 Diabetes mellitus;Ambos sexos;Palmas (Las);7.672
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;9.857
250 Diabetes mellitus;Ambos sexos;Cantabria;3.331
250 Diabetes mellitus;Ambos sexos;Castilla y León;20.127
250 Diabetes mellitus;Ambos sexos;Avila;947
250 Diabetes mellitus;Ambos sexos;Burgos;3.088
250 Diabetes mellitus;Ambos sexos;León;3.584
250 Diabetes mellitus;Ambos sexos;Palencia;1.057
250 Diabetes mellitus;Ambos sexos;Salamanca;3.576
250 Diabetes mellitus;Ambos sexos;Segovia;699
250 Diabetes mellitus;Ambos sexos;Soria;685
250 Diabetes mellitus;Ambos sexos;Valladolid;4.459
250 Diabetes mellitus;Ambos sexos;Zamora;2.032
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;9.643
250 Diabetes mellitus;Ambos sexos;Albacete;2.039
250 Diabetes mellitus;Ambos sexos;Ciudad Real;2.985
250 Diabetes mellitus;Ambos sexos;Cuenca;1.221
250 Diabetes mellitus;Ambos sexos;Guadalajara;908
250 Diabetes mellitus;Ambos sexos;Toledo;2.489
250 Diabetes mellitus;Ambos sexos;Cataluña;45.615
250 Diabetes mellitus;Ambos sexos;Barcelona;37.001
250 Diabetes mellitus;Ambos sexos;Girona;2.530
250 Diabetes mellitus;Ambos sexos;Lleida;1.997
250 Diabetes mellitus;Ambos sexos;Tarragona;4.087
250 Diabetes mellitus;Ambos sexos;Comunitat Valenciana;28.285
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;11.538
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;2.956
250 Diabetes mellitus;Ambos sexos;Valencia/València;13.791
250 Diabetes mellitus;Ambos sexos;Extremadura;5.741
250 Diabetes mellitus;Ambos sexos;Badajoz;4.155
250 Diabetes mellitus;Ambos sexos;Cáceres;1.585
250 Diabetes mellitus;Ambos sexos;Galicia;18.817
250 Diabetes mellitus;Ambos sexos;Coruña (A);7.862
250 Diabetes mellitus;Ambos sexos;Lugo;3.053
250 Diabetes mellitus;Ambos sexos;Ourense;3.040
250 Diabetes mellitus;Ambos sexos;Pontevedra;4.863
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);31.982
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);11.480
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.067
250 Diabetes mellitus;Ambos sexos;País Vasco;13.019
250 Diabetes mellitus;Ambos sexos;Alava;2.158
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;5.868
250 Diabetes mellitus;Ambos sexos;Vizcaya;4.993
250 Diabetes mellitus;Ambos sexos;Rioja (La);3.315
250 Diabetes mellitus;Ambos sexos;Ceuta;1.025
250 Diabetes mellitus;Ambos sexos;Melilla;1.154
250 Diabetes mellitus;Varones;Total;165.511
250 Diabetes mellitus;Varones;Andalucía;26.833
250 Diabetes mellitus;Varones;Almería;1.856
250 Diabetes mellitus;Varones;Cádiz;4.273
250 Diabetes mellitus;Varones;Córdoba;1.481
250 Diabetes mellitus;Varones;Granada;4.698
250 Diabetes mellitus;Varones;Huelva;2.117
250 Diabetes mellitus;Varones;Jaén;1.767
250 Diabetes mellitus;Varones;Málaga;5.684
250 Diabetes mellitus;Varones;Sevilla;4.957
250 Diabetes mellitus;Varones;Aragón;4.890
250 Diabetes mellitus;Varones;Huesca;674
250 Diabetes mellitus;Varones;Teruel;450
250 Diabetes mellitus;Varones;Zaragoza;3.766
250 Diabetes mellitus;Varones;Asturias (Principado de);4.846
250 Diabetes mellitus;Varones;Balears (Illes);4.777
250 Diabetes mellitus;Varones;Canarias;10.108
250 Diabetes mellitus;Varones;Palmas (Las);4.381
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;5.727
250 Diabetes mellitus;Varones;Cantabria;1.757
250 Diabetes mellitus;Varones;Castilla y León;10.992
250 Diabetes mellitus;Varones;Avila;438
250 Diabetes mellitus;Varones;Burgos;1.606
250 Diabetes mellitus;Varones;León;2.002
250 Diabetes mellitus;Varones;Palencia;510
250 Diabetes mellitus;Varones;Salamanca;1.934
250 Diabetes mellitus;Varones;Segovia;470
250 Diabetes mellitus;Varones;Soria;310
250 Diabetes mellitus;Varones;Valladolid;2.749
250 Diabetes mellitus;Varones;Zamora;973
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.596
250 Diabetes mellitus;Varones;Albacete;1.314
250 Diabetes mellitus;Varones;Ciudad Real;1.519
250 Diabetes mellitus;Varones;Cuenca;743
250 Diabetes mellitus;Varones;Guadalajara;548
250 Diabetes mellitus;Varones;Toledo;1.472
250 Diabetes mellitus;Varones;Cataluña;26.289
250 Diabetes mellitus;Varones;Barcelona;21.251
250 Diabetes mellitus;Varones;Girona;1.457
250 Diabetes mellitus;Varones;Lleida;1.208
250 Diabetes mellitus;Varones;Tarragona;2.373
250 Diabetes mellitus;Varones;Comunitat Valenciana;16.584
250 Diabetes mellitus;Varones;Alicante/Alacant;6.880
250 Diabetes mellitus;Varones;Castellón/Castelló;1.814
250 Diabetes mellitus;Varones;Valencia/València;7.890
250 Diabetes mellitus;Varones;Extremadura;3.084
250 Diabetes mellitus;Varones;Badajoz;2.183
250 Diabetes mellitus;Varones;Cáceres;901
250 Diabetes mellitus;Varones;Galicia;10.779
250 Diabetes mellitus;Varones;Coruña (A);4.465
250 Diabetes mellitus;Varones;Lugo;2.035
250 Diabetes mellitus;Varones;Ourense;1.650
250 Diabetes mellitus;Varones;Pontevedra;2.629
250 Diabetes mellitus;Varones;Madrid (Comunidad de);18.593
250 Diabetes mellitus;Varones;Murcia (Región de);6.744
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);3.152
250 Diabetes mellitus;Varones;País Vasco;7.327
250 Diabetes mellitus;Varones;Alava;914
250 Diabetes mellitus;Varones;Guipúzcoa;3.720
250 Diabetes mellitus;Varones;Vizcaya;2.692
250 Diabetes mellitus;Varones;Rioja (La);1.859
250 Diabetes mellitus;Varones;Ceuta;643
250 Diabetes mellitus;Varones;Melilla;659
250 Diabetes mellitus;Mujeres;Total;120.616
250 Diabetes mellitus;Mujeres;Andalucía;16.681
250 Diabetes mellitus;Mujeres;Almería;1.227
250 Diabetes mellitus;Mujeres;Cádiz;2.941
250 Diabetes mellitus;Mujeres;Córdoba;1.093
250 Diabetes mellitus;Mujeres;Granada;2.880
250 Diabetes mellitus;Mujeres;Huelva;1.158
250 Diabetes mellitus;Mujeres;Jaén;930
250 Diabetes mellitus;Mujeres;Málaga;2.844
250 Diabetes mellitus;Mujeres;Sevilla;3.607
250 Diabetes mellitus;Mujeres;Aragón;4.668
250 Diabetes mellitus;Mujeres;Huesca;894
250 Diabetes mellitus;Mujeres;Teruel;383
250 Diabetes mellitus;Mujeres;Zaragoza;3.391
250 Diabetes mellitus;Mujeres;Asturias (Principado de);3.887
250 Diabetes mellitus;Mujeres;Balears (Illes);3.416
250 Diabetes mellitus;Mujeres;Canarias;7.421
250 Diabetes mellitus;Mujeres;Palmas (Las);3.291
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;4.130
250 Diabetes mellitus;Mujeres;Cantabria;1.573
250 Diabetes mellitus;Mujeres;Castilla y León;9.135
250 Diabetes mellitus;Mujeres;Avila;508
250 Diabetes mellitus;Mujeres;Burgos;1.483
250 Diabetes mellitus;Mujeres;León;1.582
250 Diabetes mellitus;Mujeres;Palencia;547
250 Diabetes mellitus;Mujeres;Salamanca;1.642
250 Diabetes mellitus;Mujeres;Segovia;228
250 Diabetes mellitus;Mujeres;Soria;375
250 Diabetes mellitus;Mujeres;Valladolid;1.710
250 Diabetes mellitus;Mujeres;Zamora;1.059
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;4.047
250 Diabetes mellitus;Mujeres;Albacete;725
250 Diabetes mellitus;Mujeres;Ciudad Real;1.466
250 Diabetes mellitus;Mujeres;Cuenca;478
250 Diabetes mellitus;Mujeres;Guadalajara;360
250 Diabetes mellitus;Mujeres;Toledo;1.017
250 Diabetes mellitus;Mujeres;Cataluña;19.326
250 Diabetes mellitus;Mujeres;Barcelona;15.750
250 Diabetes mellitus;Mujeres;Girona;1.073
250 Diabetes mellitus;Mujeres;Lleida;789
250 Diabetes mellitus;Mujeres;Tarragona;1.714
250 Diabetes mellitus;Mujeres;Comunitat Valenciana;11.701
250 Diabetes mellitus;Mujeres;Alicante/Alacant;4.658
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.142
250 Diabetes mellitus;Mujeres;Valencia/València;5.901
250 Diabetes mellitus;Mujeres;Extremadura;2.656
250 Diabetes mellitus;Mujeres;Badajoz;1.972
250 Diabetes mellitus;Mujeres;Cáceres;684
250 Diabetes mellitus;Mujeres;Galicia;8.038
250 Diabetes mellitus;Mujeres;Coruña (A);3.396
250 Diabetes mellitus;Mujeres;Lugo;1.018
250 Diabetes mellitus;Mujeres;Ourense;1.390
250 Diabetes mellitus;Mujeres;Pontevedra;2.234
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);13.389
250 Diabetes mellitus;Mujeres;Murcia (Región de);4.736
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);1.915
